Copyright 1986-2021 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2021.1 (lin64) Build 3247384 Thu Jun 10 19:36:07 MDT 2021
| Date         : Fri Dec 17 17:11:34 2021
| Host         : gminer-linux running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_timing -sort_by group -max_paths 100 -path_type summary -file timing.log -verbose
| Design       : SRAM
| Device       : 7a15t-cpg236
| Speed File   : -1  PRODUCTION 1.23 2018-06-13
----------------------------------------------------------------------------------------------------------

Timing Report

Startpoint                     Endpoint                       Slack(ns)     
----------------------------------------------------------------------------
SRAM_reg_0_15_0_0/SP/CLK       dataOut_reg[0]/D               2.104         
SRAM_reg_0_15_10_10/SP/CLK     dataOut_reg[10]/D              2.104         
SRAM_reg_0_15_11_11/SP/CLK     dataOut_reg[11]/D              2.104         
SRAM_reg_0_15_12_12/SP/CLK     dataOut_reg[12]/D              2.104         
SRAM_reg_0_15_13_13/SP/CLK     dataOut_reg[13]/D              2.104         
SRAM_reg_0_15_14_14/SP/CLK     dataOut_reg[14]/D              2.104         
SRAM_reg_0_15_15_15/SP/CLK     dataOut_reg[15]/D              2.104         
SRAM_reg_0_15_1_1/SP/CLK       dataOut_reg[1]/D               2.104         
SRAM_reg_0_15_2_2/SP/CLK       dataOut_reg[2]/D               2.104         
SRAM_reg_0_15_3_3/SP/CLK       dataOut_reg[3]/D               2.104         
SRAM_reg_0_15_4_4/SP/CLK       dataOut_reg[4]/D               2.104         
SRAM_reg_0_15_5_5/SP/CLK       dataOut_reg[5]/D               2.104         
SRAM_reg_0_15_6_6/SP/CLK       dataOut_reg[6]/D               2.104         
SRAM_reg_0_15_7_7/SP/CLK       dataOut_reg[7]/D               2.104         
SRAM_reg_0_15_8_8/SP/CLK       dataOut_reg[8]/D               2.104         
SRAM_reg_0_15_9_9/SP/CLK       dataOut_reg[9]/D               2.104         



